German,English
getragen,carried/worn
Titel,title
Bild,picture/image
Monate,months
gesetzt,set/placed
Kind,child
bekannt,known
politischen,political
darunter,among them/below
dafür,for it/that
allerdings,however/admittedly
sieben,seven
Monaten,months (dative)
gegeben,given
ähnlich,similar
besteht,consists/exists
Gebiet,area/territory
miteinander,with each other
einige,some
stark,strong
führen,to lead
Richtung,direction
Sprache,language
geworden,become
letzte,last
Zentrum,center
stellen,to place/pose
erfolgte,took place
sechs,six
beispielsweise,for example
erfolgreich,successful
zunächst,initially/first
eher,rather/more
bietet,offers
Spieler,player
außerdem,moreover/besides
gingen,went
derzeit,currently
beste,best
machte,made
bezeichnet,designated/called
liegt,lies
Beginn,beginning
Stelle,position/place
Gemeinde,municipality/community
hingegen,on the other hand
Meter,meters
gefunden,found
trat,stepped/entered
erhielt,received
darauf,thereupon/on it
folgende,following
ganz,quite/whole
gehören,to belong
zudem,furthermore
bieten,to offer
darin,in it/therein
Region,region
verschiedene,various/different
Sohn,son
entstanden,originated/arose
Nacht,night
geführt,led
bringen,to bring
lassen,to let/leave
Werk,work/opus
gebracht,brought
Gesellschaft,society
begannen,began
führen,to lead
dadurch,thereby/through that
besitzt,possesses
erreichte,reached
selbst,self/even
kommen,to come
Möglichkeit,possibility
ehemaligen,former
gesamte,entire/total
Krieg,war
setzte,set/placed
Kilometer,kilometer
lag,lay
bereits,already
sondern,but rather
Wasser,water
davon,of it/from it
brachte,brought
meisten,most
Zahl,number
acht,eight
gehörte,belonged
hohe,high
Art,kind/species
gingen,went
bestehen,to exist/consist
Rolle,role
Thema,topic/theme
Mitglieder,members
Lage,situation/location
erreicht,reached
besondere,special
neun,nine
erschien,appeared
genutzt,used
bilden,to form
heutigen,today's
gelten,to be valid/apply
Süden,south
Mitglied,member
bestehenden,existing
Höhe,height/altitude
einzelnen,individual
kommenden,coming/upcoming
bereit,ready
Tod,death
unmittelbar,immediately
Reihe,row/series
innerhalb,within
entlang,along
spielte,played
gilt,applies/is valid
getrennt,separated
führenden,leading
statt,instead of/took place
vergangenen,past
Anschluss,connection
bekam,received/got
einfach,simple/simply
jährlich,annually
Juni,June
Wort,word
Verein,club/association
August,August
voller,full of
ergab,resulted
genau,exact/exactly
zahlreichen,numerous
gehörten,belonged
erhielt,received
fast,almost
eigene,own
öffentlichen,public
übrigen,remaining
sogenannten,so-called
meist,mostly
deutschen,German
standen,stood
gesamten,entire
Tochter,daughter
längeren,longer
Stunden,hours
ziehen,to pull/move
setzen,to set
erstmals,for the first time
verschiedenen,various
Jahrhunderts,century (genitive)
Norden,north
danach,afterwards
Oktober,October
gesamten,total
Mal,time/occasion
genommen,taken
Vater,father
erhielt,received
bestimmten,certain
neben,next to/besides
nehmen,to take
Aufgabe,task
bestand,consisted/existed
geringen,small/minor
gelang,succeeded
entstand,arose/originated
April,April
fand,found
Kopf,head
stellte,placed/posed
Sommer,summer
Punkt,point
Januar,January
ebenso,likewise
bildet,forms
gezeigt,shown
Alter,age
genau,exactly
Länder,countries
Gebäude,building
Gebiet,area
gefallen,fallen/pleased
geraten,gotten into
gesamten,entire
Bevölkerung,population
nahm,took
Bau,construction/building
erhielt,received
Mutter,mother
Körper,body
Ziel,goal/target
nördlich,northern/north of
September,September
Mal,time
folgenden,following
folgt,follows
Gebäude,building
Spiel,game/play
entsprechend,corresponding/accordingly
blieb,remained
deutlich,clear
Macht,power
März,March
deutschen,German
Ereignis,event
möchte,would like
entstanden,originated
einzige,only/single
größte,largest
Erfolg,success
gelang,succeeded
November,November
östlich,eastern/east of
solcher,such
besser,better
Bedeutung,meaning/importance
gesamten,total
deutschen,German
Präsident,president
Stück,piece
Projekt,project
Dezember,December
Stand,stand/status
Straße,street
gebildet,formed/educated
entstehen,to originate
Februar,February
Grund,reason
westlich,western/west of
vertreten,represented
ergeben,result/surrender
enthalten,contain
aufgrund,due to/because of
spielen,to play
genannten,named/mentioned
südlich,southern/south of
Mannschaft,team
Ausstellung,exhibition
begann,began
weiteren,further
bedeutet,means
erreichen,to reach
Film,film/movie
Herr,Mr./gentleman
Verwendung,use
jener,that/those
bestimmte,certain
geschaffen,created
Nachfolger,successor
Orden,order/decoration
diente,served
konnten,could
schließlich,finally
erhielt,received
geschrieben,written
Werke,works
Teile,parts
Zusammenhang,context/connection
galt,was valid/applied
Beispiel,example
gewann,won
gegenüber,opposite
Amt,office/position
älteren,older
verloren,lost
Truppen,troops
betrug,amounted/deceived
Rahmen,frame/framework
umfasst,comprises
beiden,both
gegenüber,compared to
höher,higher
dient,serves
Verlag,publisher
einzelne,individual
solche,such
gegründet,founded
Herkunft,origin/descent
Führung,leadership/guidance
schloss,closed
allgemein,general/generally
bestanden,existed/passed
Gegensatz,contrast/opposite
versucht,tried
gewählt,chosen/elected
gestellt,placed
Zusammenarbeit,cooperation
gezeigt,shown
stieg,rose/climbed
Westen,west
gegründet,founded
enthält,contains
dahin,there/until then
Interesse,interest
allgemeinen,general
Zusammenhang,connection
verbunden,connected
Situation,situation
Schule,school
Geburt,birth
Osten,east
bestimmten,certain
größeren,larger
bietet,offers
völlig,completely
Ansicht,view/opinion
langen,long
künftige,future
dürfte,should/ought to
Nähe,proximity/vicinity
zeigte,showed
Vertrag,contract
verbunden,connected
Studium,studies
gehört,belongs
gehalten,held/kept
bezogen,related/referred
abgeschlossen,completed
gehörte,belonged
Deutschen,Germans
bedeutende,significant
einzelnen,individual
Vertretung,representation
gebildet,formed
bestehen,exist
bezogen,related
Verlauf,course
Meinung,opinion
liegen,lie/be situated
schloss,closed/concluded
geschlossen,closed
gegenüber,towards
Anspruch,claim/entitlement
Stärke,strength
fiel,fell
verstehen,to understand
Ereignisse,events
aufgenommen,recorded/admitted
Handel,trade/commerce
damaligen,then
bestehenden,existing
eröffnet,opened
Einwohner,inhabitants
gegeben,given
gewisse,certain
enthielt,contained
umfassende,comprehensive
Wirkung,effect
dargestellt,presented/depicted
bisherigen,previous
Aufnahme,recording/admission
errichteten,erected
älter,older
liefern,to deliver/supply
wuchs,grew
Kirchen,churches
Folgen,consequences/episodes
gelten,be valid
bestand,consisted
erschienen,appeared
geöffnet,opened
Anlagen,facilities/plants
Städte,cities
gewählten,elected
Sitz,seat/headquarters
entstanden,originated
Ursprung,origin
ähnliche,similar
bildet,forms
Kampf,fight/battle
verbunden,connected
abgehalten,held/detained
Absicht,intention
zuständig,responsible/competent
Beziehung,relationship
ernannt,appointed
berichten,to report
befand,was located
wirken,to have an effect
ergaben,resulted
erklärte,declared/explained
ausgegeben,issued/spent
Seiten,sides/pages
Auge,eye
verfügt,has at disposal
gesehen,seen
genannten,mentioned
übernommen,taken over
bezogen,referred/related
folgenden,following
verlor,lost
Ausnahme,exception
eingeführt,introduced
Abteilung,department
durchgeführt,carried out
gewonnen,won
Niederlage,defeat
ausgezeichnet,excellent/awarded
Hälfte,half
nachdem,after
tätig,active/working
Leitung,management/direction
verwendet,used
Anlass,occasion
zuvor,before/previously
heraus,out
befinden,to be located
vorher,before
Veröffentlichung,publication
Studien,studies
Einsatz,use/deployment
erwähnt,mentioned
verstanden,understood
Betrieb,operation/company
berichtet,reported
erhielten,received
erklärt,explained/declared
unterschiedliche,different
dahingehend,to the effect that
berichten,report
Angaben,information
genannt,called/named
treten,to step/enter
tragen,to carry
aufgestellt,set up
darüber,about it/over it
befasst,dealt with
darauf,on it
ferner,furthermore
zuletzt,lastly/recently
verteilt,distributed
verfügten,had at disposal
bestimmt,certain/determined
angegeben,stated
erhalten,received
gewährt,granted
versehen,provided
besitzen,to possess
gewissen,certain
erworben,acquired
dargestellt,presented
vorgesehen,provided for
verbracht,spent time
errichten,to erect
geschehen,happened
zufolge,according to
übernehmen,to take over
getroffen,met
besetzen,to occupy
lieferten,delivered
gegründeten,founded
errichtet,erected
abgelöst,replaced
bestimmen,to determine
vorhandenen,existing
beigetragen,contributed
vermieden,avoided
vorgestellt,presented/introduced
mitgeteilt,communicated
erstellt,created
Entwicklungen,developments
umfassen,to comprise
bestimmt,determined
entstehen,arise
gegeben,given
Veranstaltung,event
anzutreffen,to be found
umfangreiche,extensive
veröffentlicht,published
aufgetreten,appeared
veranstaltet,organized
entspricht,corresponds
zusammengestellt,compiled
eingesetzt,deployed/used
erscheint,appears
ausgeübt,exercised
umfangreich,extensive
ausgesprochen,pronounced
bestätigt,confirmed
durchaus,quite/absolutely
begrenzt,limited
verwiesen,referred
ausgestellt,exhibited
veranstaltet,organized
unterschieden,distinguished
eingerichtet,established
unternommen,undertaken
hinsichtlich,regarding/with regard to
gewesen,been
verfügen,to have at disposal
besetzt,occupied
vorgenommen,undertaken
aufgebaut,built up
zugeordnet,assigned
betrachtet,considered
verpflichtet,obliged
abgebildet,depicted
betrieben,operated
beruht,based on
aufweist,exhibits
zugewiesen,assigned
ausgestattet,equipped
vorhanden,present
verfolgt,pursued
entfernt,removed/distant
beziehen,to obtain/refer
aufgeführt,listed
sämtliche,all
weiterer,further
gefördert,promoted
ermöglicht,enabled
geregelt,regulated
verfügte,had at disposal
aufweisen,to exhibit
untergebracht,accommodated
vermittelt,conveyed
unterteilt,subdivided
gerechnet,counted/expected
erteilt,granted
bestehend,existing
vorliegen,to be present
getätigt,made/conducted
ausgeführt,executed
geprägt,characterized
vorliegenden,present
verliehen,awarded
durchgeführt,conducted
aufgegeben,abandoned
fortgesetzt,continued
ausgeschlossen,excluded
erfolgt,takes place
untersucht,examined
zugeordnet,assigned
ausgewählt,selected
übertragen,transferred
verliehen,awarded
angeordnet,ordered
zurückgeführt,traced back
übernommen,adopted
vorgegeben,specified
gekennzeichnet,marked
anerkannt,recognized
abgelehnt,rejected
gefasst,drafted/resolved
aufgelöst,dissolved
überliefert,handed down
gewährleistet,ensured
angeschlossen,connected
besiedelt,settled
vorgelegt,submitted
eingeleitet,initiated
ermittelt,determined
festgelegt,established
angesetzt,scheduled
veranlasst,caused
zugeschrieben,attributed
vorgeschlagen,proposed
begründet,justified
erzielt,achieved
bezeichnet,described
abgeschafft,abolished
erweitert,expanded
veranstaltet,organized
angelegt,established
gesichert,secured
beteiligt,involved
angesiedelt,settled
übertragen,transmitted
gestaltet,designed
angekündigt,announced
beibehalten,maintained
unterzeichnet,signed
aufgenommen,admitted
verabschiedet,adopted
verankert,anchored
ausgerichtet,oriented
eingegangen,entered into
angewiesen,instructed
umgesetzt,implemented
überschritten,exceeded
vorbehalten,reserved
abgebrochen,aborted
ausgebildet,trained
angepasst,adapted
ausgedehnt,extended
unterbrochen,interrupted
einbezogen,included
erneuert,renewed
beeinflusst,influenced
verkörpert,embodied
hingewiesen,pointed out
abgewiesen,rejected
unterstützt,supported
eingeteilt,divided
unterworfen,subjected
angewiesen,dependent
ausgeprägt,pronounced
aufgefallen,noticed
vertrieben,expelled
veröffentlicht,published
angewandt,applied
unterstrichen,underlined
aufgefasst,conceived
zurückgegangen,declined
verursacht,caused
abgedeckt,covered
hervorgebracht,produced
fortgeführt,continued
angeboten,offered
überwunden,overcome
vorausgesetzt,provided
beschränkt,restricted
abgegrenzt,demarcated
eingeschränkt,restricted
verlegt,moved
aufgewiesen,shown
unterstellt,subordinated
aufgekommen,arisen
vorangetrieben,advanced
zurückgezogen,withdrawn
angefertigt,manufactured
aufgestockt,increased
zurückgelegt,covered distance
aufgenommen,received
festgehalten,recorded
angewachsen,grown
eingebüßt,lost
niedergelegt,laid down
aufgehoben,lifted
hervorgerufen,evoked
ausgedrückt,expressed
vorgeführt,demonstrated
eingetreten,occurred
zurückgeblieben,lagged behind
hinzugefügt,added
abgewandelt,modified
vorgelegen,existed
aufgewendet,expended
vorgestoßen,advanced
hervorgehoben,emphasized
vorgeschrieben,prescribed
eingezogen,moved in
ausgearbeitet,elaborated
vorgenommen,undertaken
durchgesetzt,enforced
aufgestanden,stood up
eingeweiht,initiated
vorangestellt,prefaced
aufgerufen,called upon
zurückgetreten,resigned
hingewiesen,indicated
vorgesehen,intended
aufgezeigt,shown
zurückgewiesen,rejected
eingegriffen,intervened
herausgebildet,developed
vorgetragen,presented
eingenommen,taken
fortgeschritten,advanced
vorgezeichnet,predetermined
aufgestiegen,ascended
zurückgekehrt,returned
hinzugekommen,added
vorgeherrscht,prevailed
aufgegriffen,taken up
eingefügt,inserted
herausgegeben,published
vorgetäuscht,feigned
aufgestellt,established
zurückgefallen,fallen back
vorgetragen,performed
